"","PKDATAROWID","FLGEXKEL","FLGEXAUC","FLGEXSDE","FLGEXST","PKRCOM","PKPCOM","FLGTIME","TOLD1","TAU1","TOLD2","TAU2"
"121",121,1,0,0,0,NA,NA,0,0,10,10,14
"122",122,1,0,0,0,NA,NA,0,0,24,NA,NA
"123",123,1,0,0,0,NA,NA,0,0,24,NA,NA
"124",124,1,0,0,0,NA,NA,0,0,24,NA,NA
"125",125,1,0,0,0,NA,NA,0,0,24,NA,NA
"126",126,1,0,0,0,NA,NA,0,0,24,NA,NA
"127",127,1,0,0,0,NA,NA,0,0,24,NA,NA
"128",128,1,0,0,0,NA,NA,0,0,24,NA,NA
"129",129,1,0,0,0,NA,NA,0,0,24,NA,NA
"130",130,1,0,0,0,NA,NA,0,0,24,NA,NA
"131",131,1,0,0,0,NA,NA,0,0,24,NA,NA
"132",132,1,0,0,0,NA,NA,0,0,24,NA,NA
"133",133,1,0,0,0,NA,NA,0,0,10,10,14
"134",134,1,0,0,0,NA,NA,0,0,10,10,14
"135",135,1,0,0,0,NA,NA,0,0,10,10,14
"136",136,1,0,0,0,NA,NA,0,0,10,10,14
"137",137,1,0,0,0,NA,NA,0,0,10,10,14
"138",138,1,0,0,0,NA,NA,0,0,10,10,14
"139",139,1,0,0,0,NA,NA,0,0,10,10,14
"140",140,1,0,0,0,NA,NA,0,0,10,10,14
"141",141,1,0,0,0,NA,NA,0,0,10,10,14
"142",142,1,0,0,0,NA,NA,0,0,10,10,14
"143",143,1,0,0,0,NA,NA,0,0,10,10,14
"144",144,1,0,0,0,NA,NA,0,0,10,10,14
"145",145,1,0,0,0,NA,NA,0,0,10,10,14
"146",146,1,0,0,0,NA,NA,0,0,10,10,14
"147",147,1,0,0,0,NA,NA,0,0,10,10,14
"148",148,1,0,0,0,NA,NA,0,0,10,10,14
"149",149,1,0,0,0,NA,NA,0,0,10,10,14
"150",150,1,0,0,0,NA,NA,0,0,10,10,14
"151",151,1,0,0,0,NA,NA,0,0,10,10,14
"152",152,1,0,0,0,NA,NA,0,0,10,10,14
"153",153,1,0,0,0,NA,NA,0,0,10,10,14
"154",154,1,0,0,0,NA,NA,0,0,10,10,14
"155",155,1,0,0,0,NA,NA,0,0,10,10,14
"156",156,1,0,0,0,NA,NA,0,0,10,10,14
"157",157,1,0,0,0,NA,NA,0,0,10,10,14
"158",158,1,0,0,0,NA,NA,0,0,10,10,14
"159",159,1,0,0,0,NA,NA,0,0,10,10,14
"160",160,1,0,0,0,NA,NA,0,0,10,10,14
"161",161,1,0,0,0,NA,NA,0,0,10,10,14
"162",162,1,0,0,0,NA,NA,0,0,10,10,14
"163",163,1,0,0,0,NA,NA,0,0,10,10,14
"164",164,1,0,0,0,NA,NA,0,0,10,10,14
"165",165,1,0,0,0,NA,NA,0,0,10,10,14
"166",166,1,0,0,0,NA,NA,0,0,24,NA,NA
"167",167,1,0,0,0,NA,NA,0,0,24,NA,NA
"168",168,1,0,0,0,NA,NA,0,0,24,NA,NA
"169",169,1,0,0,0,NA,NA,0,0,24,NA,NA
"170",170,1,0,0,0,NA,NA,0,0,24,NA,NA
"171",171,1,0,0,0,NA,NA,0,0,24,NA,NA
"172",172,1,0,0,0,NA,NA,0,0,24,NA,NA
"173",173,1,0,0,0,NA,NA,0,0,24,NA,NA
"174",174,1,0,0,0,NA,NA,0,0,24,NA,NA
"175",175,1,0,0,0,NA,NA,0,0,24,NA,NA
"176",176,1,0,0,0,NA,NA,0,0,24,NA,NA
"177",177,1,0,0,0,NA,NA,0,0,24,NA,NA
"178",178,1,0,0,0,NA,NA,0,0,24,NA,NA
"179",179,1,0,0,0,NA,NA,0,0,24,NA,NA
"180",180,1,0,0,0,NA,NA,0,0,24,NA,NA
"181",181,1,0,0,0,NA,NA,0,0,24,NA,NA
"182",182,1,0,0,0,NA,NA,0,0,24,NA,NA
"183",183,1,0,0,0,NA,NA,0,0,24,NA,NA
"184",184,1,0,0,0,NA,NA,0,0,24,NA,NA
"185",185,1,0,0,0,NA,NA,0,0,24,NA,NA
"186",186,1,0,0,0,NA,NA,0,0,24,NA,NA
"187",187,1,0,0,0,NA,NA,0,0,24,NA,NA
"188",188,1,0,0,0,NA,NA,0,0,24,NA,NA
"189",189,1,0,0,0,NA,NA,0,0,24,NA,NA
"190",190,1,0,0,0,NA,NA,0,0,24,NA,NA
"191",191,1,0,0,0,NA,NA,0,0,24,NA,NA
"192",192,1,0,0,0,NA,NA,0,0,24,NA,NA
"193",193,1,0,0,0,NA,NA,0,0,24,NA,NA
"194",194,1,0,0,0,NA,NA,0,0,24,NA,NA
"195",195,1,0,0,0,NA,NA,0,0,24,NA,NA
"196",196,1,0,0,0,NA,NA,0,0,24,NA,NA
"197",197,1,0,0,0,NA,NA,0,0,24,NA,NA
"198",198,1,0,0,0,NA,NA,0,0,24,NA,NA
"199",199,1,0,0,0,NA,NA,0,0,24,NA,NA
"200",200,1,0,0,0,NA,NA,0,0,24,NA,NA
"201",201,1,0,0,0,NA,NA,0,0,24,NA,NA
"202",202,1,0,0,0,NA,NA,0,0,24,NA,NA
"203",203,1,0,0,0,NA,NA,0,0,24,NA,NA
"204",204,1,0,0,0,NA,NA,0,0,24,NA,NA
"205",205,1,0,0,0,NA,NA,0,0,24,NA,NA
"206",206,1,0,0,0,NA,NA,0,0,24,NA,NA
"207",207,1,0,0,0,NA,NA,0,0,24,NA,NA
"208",208,1,0,0,0,NA,NA,0,0,24,NA,NA
"209",209,1,0,0,0,NA,NA,0,0,24,NA,NA
"210",210,1,0,0,0,NA,NA,0,0,24,NA,NA
"211",211,1,0,0,0,NA,NA,0,0,24,NA,NA
"212",212,1,0,0,0,NA,NA,0,0,24,NA,NA
"213",213,1,0,0,0,NA,NA,0,0,24,NA,NA
"214",214,1,0,0,0,NA,NA,0,0,24,NA,NA
"215",215,1,0,0,0,NA,NA,0,0,24,NA,NA
"216",216,1,0,0,0,NA,NA,0,0,24,NA,NA
"217",217,1,0,0,0,NA,NA,0,0,24,NA,NA
"218",218,1,0,0,0,NA,NA,0,0,24,NA,NA
"219",219,1,0,0,0,NA,NA,0,0,24,NA,NA
"220",220,1,0,0,0,NA,NA,0,0,24,NA,NA
"221",221,1,0,0,0,NA,NA,0,0,24,NA,NA
"222",222,1,0,0,0,NA,NA,0,0,24,NA,NA
"223",223,1,0,0,0,NA,NA,0,0,24,NA,NA
"224",224,1,0,0,0,NA,NA,0,0,24,NA,NA
"225",225,1,0,0,0,NA,NA,0,0,24,NA,NA
"226",226,1,0,0,0,NA,NA,0,0,24,NA,NA
"227",227,1,0,0,0,NA,NA,0,0,24,NA,NA
"228",228,1,0,0,0,NA,NA,0,0,24,NA,NA
"229",229,1,0,0,0,NA,NA,0,0,24,NA,NA
"230",230,1,0,0,0,NA,NA,0,0,24,NA,NA
"231",231,1,0,0,0,NA,NA,0,0,24,NA,NA
"232",232,1,0,0,0,NA,NA,0,0,24,NA,NA
"233",233,1,0,0,0,NA,NA,0,0,24,NA,NA
"234",234,1,0,0,0,NA,NA,0,0,24,NA,NA
"235",235,1,0,0,0,NA,NA,0,0,24,NA,NA
"236",236,1,0,0,0,NA,NA,0,0,24,NA,NA
"237",237,1,0,0,0,NA,NA,0,0,24,NA,NA
"238",238,1,0,0,0,NA,NA,0,0,24,NA,NA
"239",239,1,0,0,0,NA,NA,0,0,24,NA,NA
"240",240,1,0,0,0,NA,NA,0,0,24,NA,NA
"241",241,1,0,0,0,NA,NA,0,0,24,NA,NA
"242",242,1,0,0,0,NA,NA,0,0,24,NA,NA
"243",243,1,0,0,0,NA,NA,0,0,24,NA,NA
"244",244,1,0,0,0,NA,NA,0,0,24,NA,NA
"245",245,1,0,0,0,NA,NA,0,0,24,NA,NA
"246",246,1,0,0,0,NA,NA,0,0,24,NA,NA
"247",247,1,0,0,0,NA,NA,0,0,24,NA,NA
"248",248,1,0,0,0,NA,NA,0,0,24,NA,NA
"249",249,1,0,0,0,NA,NA,0,0,24,NA,NA
"250",250,1,0,0,0,NA,NA,0,0,24,NA,NA
"251",251,1,0,0,0,NA,NA,0,0,24,NA,NA
"252",252,1,0,0,0,NA,NA,0,0,24,NA,NA
"253",253,1,0,0,0,NA,NA,0,0,24,NA,NA
"254",254,1,0,0,0,NA,NA,0,0,10,10,14
"255",255,1,0,0,0,NA,NA,0,0,10,10,14
"256",256,1,0,0,0,NA,NA,0,0,10,10,14
"257",257,1,0,0,0,NA,NA,0,0,10,10,14
"258",258,1,0,0,0,NA,NA,0,0,10,10,14
"259",259,1,0,0,0,NA,NA,0,0,10,10,14
"260",260,1,0,0,0,NA,NA,0,0,10,10,14
"261",261,1,0,0,0,NA,NA,0,0,10,10,14
"262",262,1,0,0,0,NA,NA,0,0,10,10,14
"263",263,1,0,0,0,NA,NA,0,0,10,10,14
"264",264,1,0,0,0,NA,NA,0,0,10,10,14
"265",265,1,0,0,0,NA,NA,0,0,10,10,14
"266",266,1,0,0,0,NA,NA,0,0,10,10,14
"267",267,1,0,0,0,NA,NA,0,0,10,10,14
"268",268,1,0,0,0,NA,NA,0,0,10,10,14
"269",269,1,0,0,0,NA,NA,0,0,10,10,14
"270",270,1,0,0,0,NA,NA,0,0,10,10,14
"271",271,1,0,0,0,NA,NA,0,0,10,10,14
"272",272,1,0,0,0,NA,NA,0,0,10,10,14
"273",273,1,0,0,0,NA,NA,0,0,10,10,14
"274",274,1,0,0,0,NA,NA,0,0,10,10,14
"275",275,1,0,0,0,NA,NA,0,0,10,10,14
"276",276,1,0,0,0,NA,NA,0,0,24,NA,NA
"277",277,1,0,0,0,NA,NA,0,0,24,NA,NA
"278",278,1,0,0,0,NA,NA,0,0,24,NA,NA
"279",279,1,0,0,0,NA,NA,0,0,24,NA,NA
"280",280,1,0,0,0,NA,NA,0,0,24,NA,NA
"281",281,1,0,0,0,NA,NA,0,0,24,NA,NA
"282",282,1,0,0,0,NA,NA,0,0,24,NA,NA
"283",283,1,0,0,0,NA,NA,0,0,24,NA,NA
"284",284,1,0,0,0,NA,NA,0,0,24,NA,NA
"285",285,1,0,0,0,NA,NA,0,0,24,NA,NA
"286",286,1,0,0,0,NA,NA,0,0,24,NA,NA
"287",287,1,0,0,0,NA,NA,0,0,10,10,14
"288",288,1,0,0,0,NA,NA,0,0,10,10,14
"289",289,1,0,0,0,NA,NA,0,0,10,10,14
"290",290,1,0,0,0,NA,NA,0,0,10,10,14
"291",291,1,0,0,0,NA,NA,0,0,10,10,14
"292",292,1,0,0,0,NA,NA,0,0,10,10,14
"293",293,1,0,0,0,NA,NA,0,0,10,10,14
"294",294,1,0,0,0,NA,NA,0,0,10,10,14
"295",295,1,0,0,0,NA,NA,0,0,10,10,14
"296",296,1,0,0,0,NA,NA,0,0,10,10,14
"297",297,1,0,0,0,NA,NA,0,0,10,10,14
"298",298,1,0,0,0,NA,NA,0,0,10,10,14
"299",299,1,0,0,0,NA,NA,0,0,10,10,14
"300",300,1,0,0,0,NA,NA,0,0,10,10,14
"301",301,1,0,0,0,NA,NA,0,0,10,10,14
"302",302,1,0,0,0,NA,NA,0,0,10,10,14
"303",303,1,0,0,0,NA,NA,1,0,10,10,14
"304",304,1,0,0,0,NA,NA,0,0,10,10,14
"305",305,1,0,0,0,NA,NA,0,0,10,10,14
"306",306,1,0,0,0,NA,NA,0,0,10,10,14
"307",307,1,0,0,0,NA,NA,0,0,10,10,14
"308",308,1,0,0,0,NA,NA,0,0,10,10,14
"309",309,1,0,0,0,NA,NA,0,0,10,10,14
"310",310,1,0,0,0,NA,NA,0,0,10,10,14
"311",311,1,0,0,0,NA,NA,0,0,10,10,14
"312",312,1,0,0,0,NA,NA,0,0,10,10,14
"313",313,1,0,0,0,NA,NA,0,0,10,10,14
"314",314,1,0,0,0,NA,NA,0,0,10,10,14
"315",315,1,0,0,0,NA,NA,0,0,10,10,14
"316",316,1,0,0,0,NA,NA,0,0,10,10,14
"317",317,1,0,0,0,NA,NA,0,0,10,10,14
"318",318,1,0,0,0,NA,NA,0,0,10,10,14
"319",319,1,0,0,0,NA,NA,0,0,10,10,14
"320",320,1,0,0,0,NA,NA,0,0,24,NA,NA
"321",321,1,0,0,0,NA,NA,0,0,24,NA,NA
"322",322,1,0,0,0,NA,NA,0,0,24,NA,NA
"323",323,1,0,0,0,NA,NA,0,0,24,NA,NA
"324",324,1,0,0,0,NA,NA,0,0,24,NA,NA
"325",325,1,0,0,0,NA,NA,0,0,24,NA,NA
"326",326,1,0,0,0,NA,NA,0,0,24,NA,NA
"327",327,1,0,0,0,NA,NA,0,0,24,NA,NA
"328",328,1,0,0,0,NA,NA,0,0,24,NA,NA
"329",329,1,0,0,0,NA,NA,0,0,24,NA,NA
"330",330,1,0,0,0,NA,NA,0,0,24,NA,NA
"331",331,1,0,0,0,NA,NA,0,0,24,NA,NA
"332",332,1,0,0,0,NA,NA,0,0,24,NA,NA
"333",333,1,0,0,0,NA,NA,0,0,24,NA,NA
"334",334,1,0,0,0,NA,NA,0,0,24,NA,NA
"335",335,1,0,0,0,NA,NA,0,0,24,NA,NA
"336",336,1,0,0,0,NA,NA,0,0,24,NA,NA
"337",337,1,0,0,0,NA,NA,0,0,24,NA,NA
"338",338,1,0,0,0,NA,NA,0,0,24,NA,NA
"339",339,1,0,0,0,NA,NA,0,0,24,NA,NA
"340",340,1,0,0,0,NA,NA,0,0,24,NA,NA
"341",341,1,0,0,0,NA,NA,0,0,24,NA,NA
"342",342,1,0,0,0,NA,NA,0,0,24,NA,NA
"343",343,1,0,0,0,NA,NA,0,0,24,NA,NA
"344",344,1,0,0,0,NA,NA,0,0,24,NA,NA
"345",345,1,0,0,0,NA,NA,0,0,24,NA,NA
"346",346,1,0,0,0,NA,NA,0,0,24,NA,NA
"347",347,1,0,0,0,NA,NA,0,0,24,NA,NA
"348",348,1,0,0,0,NA,NA,0,0,24,NA,NA
"349",349,1,0,0,0,NA,NA,0,0,24,NA,NA
"350",350,1,0,0,0,NA,NA,0,0,24,NA,NA
"351",351,1,0,0,0,NA,NA,0,0,24,NA,NA
"352",352,1,0,0,0,NA,NA,0,0,24,NA,NA
"353",353,1,0,0,0,NA,NA,0,0,24,NA,NA
"354",354,1,0,0,0,NA,NA,0,0,24,NA,NA
"355",355,1,0,0,0,NA,NA,0,0,24,NA,NA
"356",356,1,0,0,0,NA,NA,0,0,24,NA,NA
"357",357,1,0,0,0,NA,NA,0,0,24,NA,NA
"358",358,1,0,0,0,NA,NA,0,0,24,NA,NA
"359",359,1,0,0,0,NA,NA,0,0,24,NA,NA
"360",360,1,0,0,0,NA,NA,0,0,24,NA,NA
"361",361,1,0,0,0,NA,NA,0,0,24,NA,NA
"362",362,1,0,0,0,NA,NA,0,0,24,NA,NA
"363",363,1,0,0,0,NA,NA,0,0,24,NA,NA
"364",364,1,0,0,0,NA,NA,0,0,24,NA,NA
"365",365,1,0,0,0,NA,NA,0,0,24,NA,NA
"366",366,1,0,0,0,NA,NA,0,0,24,NA,NA
"367",367,1,0,0,0,NA,NA,0,0,24,NA,NA
"368",368,1,0,0,0,NA,NA,0,0,24,NA,NA
"369",369,1,0,0,0,NA,NA,0,0,24,NA,NA
"370",370,1,0,0,0,NA,NA,0,0,24,NA,NA
"371",371,1,0,0,0,NA,NA,0,0,24,NA,NA
"372",372,1,0,0,0,NA,NA,0,0,24,NA,NA
"373",373,1,0,0,0,NA,NA,0,0,24,NA,NA
"374",374,1,0,0,0,NA,NA,0,0,24,NA,NA
"375",375,1,0,0,0,NA,NA,0,0,10,10,14
"376",376,1,0,0,0,NA,NA,0,0,10,10,14
"377",377,1,0,0,0,NA,NA,0,0,10,10,14
"378",378,1,0,0,0,NA,NA,0,0,10,10,14
"379",379,1,0,0,0,NA,NA,0,0,10,10,14
"380",380,1,0,0,0,NA,NA,0,0,10,10,14
"381",381,1,0,0,0,NA,NA,0,0,10,10,14
"382",382,1,0,0,0,NA,NA,0,0,10,10,14
"383",383,1,0,0,0,NA,NA,0,0,10,10,14
"384",384,1,0,0,0,NA,NA,0,0,10,10,14
"385",385,1,0,0,0,NA,NA,0,0,10,10,14
"386",386,1,0,0,0,NA,NA,0,0,24,NA,NA
"387",387,1,0,0,0,NA,NA,0,0,24,NA,NA
"388",388,1,0,0,0,NA,NA,0,0,24,NA,NA
"389",389,1,0,0,0,NA,NA,0,0,24,NA,NA
"390",390,1,0,0,0,NA,NA,0,0,24,NA,NA
"391",391,1,0,0,0,NA,NA,0,0,24,NA,NA
"392",392,1,0,0,0,NA,NA,0,0,24,NA,NA
"393",393,1,0,0,0,NA,NA,0,0,24,NA,NA
"394",394,1,0,0,0,NA,NA,0,0,24,NA,NA
"395",395,1,0,0,0,NA,NA,0,0,24,NA,NA
"396",396,1,0,0,0,NA,NA,0,0,24,NA,NA
"397",397,1,0,0,0,NA,NA,0,0,24,NA,NA
"398",398,1,0,0,0,NA,NA,0,0,24,NA,NA
"399",399,1,0,0,0,NA,NA,0,0,24,NA,NA
"400",400,1,0,0,0,NA,NA,0,0,24,NA,NA
"401",401,1,0,0,0,NA,NA,0,0,24,NA,NA
"402",402,1,0,0,0,NA,NA,0,0,24,NA,NA
"403",403,1,0,0,0,NA,NA,0,0,24,NA,NA
"404",404,1,0,0,0,NA,NA,0,0,24,NA,NA
"405",405,1,0,0,0,NA,NA,0,0,24,NA,NA
"406",406,1,0,0,0,NA,NA,0,0,24,NA,NA
"407",407,1,0,0,0,NA,NA,0,0,24,NA,NA
"408",408,1,0,0,0,NA,NA,0,0,10,10,14
"409",409,1,0,0,0,NA,NA,0,0,10,10,14
"410",410,1,0,0,0,NA,NA,0,0,10,10,14
"411",411,1,0,0,0,NA,NA,0,0,10,10,14
"412",412,1,0,0,0,NA,NA,0,0,10,10,14
"413",413,1,0,0,0,NA,NA,0,0,10,10,14
"414",414,1,0,0,0,NA,NA,0,0,10,10,14
"415",415,1,0,0,0,NA,NA,0,0,10,10,14
"416",416,1,0,0,0,NA,NA,0,0,10,10,14
"417",417,1,0,0,0,NA,NA,0,0,10,10,14
"418",418,1,0,0,0,NA,NA,0,0,10,10,14
"419",419,1,0,0,0,NA,NA,0,0,24,NA,NA
"420",420,1,0,0,0,NA,NA,0,0,24,NA,NA
"421",421,1,0,0,0,NA,NA,0,0,24,NA,NA
"422",422,1,0,0,0,NA,NA,0,0,24,NA,NA
"423",423,1,0,0,0,NA,NA,0,0,24,NA,NA
"424",424,1,0,0,0,NA,NA,0,0,24,NA,NA
"425",425,1,0,0,0,NA,NA,0,0,24,NA,NA
"426",426,1,0,0,0,NA,NA,0,0,24,NA,NA
"427",427,1,0,0,0,NA,NA,0,0,24,NA,NA
"428",428,1,0,0,0,NA,NA,0,0,24,NA,NA
"429",429,1,0,0,0,NA,NA,0,0,24,NA,NA
