PKDATAROWID,FLGEXKEL,FLGEXAUC,FLGEXSDE,FLGEXST,PKRCOM,PKPCOM,FLGTIME,FLGEXKELprev,FLGEXSDEprev,FLGEXAUCprev,FLGEXSTprev
270,1,0,0,0,"","","NOMINAL",,,,
271,1,0,0,0,"","","NOMINAL",1,,,
272,1,0,0,0,"","","NOMINAL",1,,,
273,1,0,0,0,"","","NOMINAL",1,,,
274,1,0,0,0,"","","NOMINAL",1,,,
275,1,0,0,0,"","","NOMINAL",1,,,
276,1,0,0,0,"","","NOMINAL",1,,,
277,1,0,0,0,"","","NOMINAL",1,,,
278,1,0,0,0,"","","NOMINAL",1,,,
279,1,0,0,0,"","","NOMINAL",1,,,
280,0,0,0,0,"","","NOMINAL",0,,,
281,0,0,0,0,"","","NOMINAL",0,,,
282,0,0,0,0,"","","NOMINAL",0,,,
283,0,0,0,0,"","","NOMINAL",0,,,
284,0,0,0,0,"","","NOMINAL",0,,,
285,0,0,0,0,"","","NOMINAL",0,,,
286,0,0,0,0,"","","NOMINAL",0,,,
287,1,0,0,0,"","","NOMINAL",,,,
288,1,0,0,0,"","","NOMINAL",,,,
289,1,0,0,0,"","","NOMINAL",1,,,
290,1,0,0,0,"","","NOMINAL",1,,,
291,1,0,0,0,"","","NOMINAL",1,,,
292,1,0,0,0,"","","NOMINAL",1,,,
293,1,0,0,0,"","","NOMINAL",1,,,
294,1,0,0,0,"","","NOMINAL",1,,,
295,1,0,0,0,"","","NOMINAL",1,,,
296,1,0,0,0,"","","NOMINAL",1,,,
297,1,0,0,0,"","","NOMINAL",1,,,
298,0,0,0,0,"","","NOMINAL",0,,,
299,0,0,0,0,"","","NOMINAL",0,,,
300,0,0,0,0,"","","NOMINAL",0,,,
301,0,0,0,0,"","","NOMINAL",0,,,
302,0,0,0,0,"","","NOMINAL",0,,,
303,1,0,0,0,"","","NOMINAL",,,,
304,1,0,0,0,"","","NOMINAL",,,,
305,1,0,0,0,"","","NOMINAL",,,,
306,1,0,0,0,"","","NOMINAL",,,,
307,1,0,0,0,"","","NOMINAL",1,,,
308,1,0,0,0,"","","NOMINAL",1,,,
309,1,0,0,0,"","","NOMINAL",1,,,
310,1,0,0,0,"","","NOMINAL",1,,,
311,1,0,0,0,"","","NOMINAL",1,,,
312,1,0,0,0,"","","NOMINAL",1,,,
313,1,0,0,0,"","","NOMINAL",1,,,
314,1,0,0,0,"","","NOMINAL",1,,,
315,1,0,0,0,"","","NOMINAL",1,,,
316,0,0,0,0,"","","NOMINAL",0,,,
317,0,0,0,0,"","","NOMINAL",0,,,
318,0,0,0,0,"","","NOMINAL",0,,,
319,0,0,0,0,"","","NOMINAL",0,,,
320,0,0,0,0,"","","NOMINAL",0,,,
321,0,0,0,0,"","","NOMINAL",0,,,
322,1,0,0,0,"","","NOMINAL",,,,
323,1,0,0,0,"","","NOMINAL",,,,
324,1,0,0,0,"","","NOMINAL",,,,
325,1,0,0,0,"","","NOMINAL",1,,,
326,1,0,0,0,"","","NOMINAL",1,,,
327,1,0,0,0,"","","NOMINAL",1,,,
328,1,0,0,0,"","","NOMINAL",1,,,
329,1,0,0,0,"","","NOMINAL",1,,,
330,1,0,0,0,"","","NOMINAL",1,,,
331,1,0,0,0,"","","NOMINAL",1,,,
332,1,0,0,0,"","","NOMINAL",1,,,
333,1,0,0,0,"","","NOMINAL",1,,,
334,0,0,0,0,"","","NOMINAL",0,,,
335,0,0,0,0,"","","NOMINAL",0,,,
336,0,0,0,0,"","","NOMINAL",0,,,
337,0,0,0,0,"","","NOMINAL",0,,,
338,0,0,0,0,"","","NOMINAL",0,,,
339,0,0,0,0,"","","NOMINAL",0,,,
340,1,0,0,0,"","","NOMINAL",,,,
341,1,0,0,0,"","","NOMINAL",,,,
342,1,0,0,0,"","","NOMINAL",,,,
343,1,0,0,0,"","","NOMINAL",1,,,
344,1,0,0,0,"","","NOMINAL",1,,,
345,1,0,0,0,"","","NOMINAL",1,,,
346,1,0,0,0,"","","NOMINAL",1,,,
347,1,0,0,0,"","","NOMINAL",1,,,
348,1,0,0,0,"","","NOMINAL",1,,,
349,1,0,0,0,"","","NOMINAL",1,,,
350,1,0,0,0,"","","NOMINAL",1,,,
351,1,0,0,0,"","","NOMINAL",1,,,
352,0,0,0,0,"","","NOMINAL",0,,,
353,0,0,0,0,"","","NOMINAL",0,,,
354,0,0,0,0,"","","NOMINAL",0,,,
355,0,0,0,0,"","","NOMINAL",0,,,
356,0,0,0,0,"","","NOMINAL",0,,,
357,0,0,0,0,"","","NOMINAL",0,,,
358,0,0,0,0,"","","NOMINAL",0,,,
359,1,0,0,0,"","","NOMINAL",,,,
360,1,0,0,0,"","","NOMINAL",,,,
